ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,form_in_source
1344,pittapitta,1291,,k u k u,,,
1345,ritarungo,1291,,d i l t c i,,,
1346,dhalandji,1291,,m i g a,,,
1347,dhargari,1291,,c i ɭ i,,,
1350,wagaya,1291,,t oː ɹ a b a,,,
1356,ngura,1291,,w i t a,,,
34127,mudburra,1371,,d i ŋ a ɹ i,,,
1360,warlpiri,1291,,p u t u ɭ u,,,
1362,wanman,1291,,m u r p u,,,
1363,wariyangga,1291,,c i ɭ i,,,
1364,warumungu,1291,,k a ʈ t u ŋ k a,,,
34134,lowerriverland,1371,,p a r u ɹ u p,,,
34135,ngamini,1371,,p a n t c a,,,
34138,ngarinman,1371,,d i ŋ a r i,,,
1371,wikmungkan,1291,,k o j a m,,,
1372,wiradhuri,1291,,b i r a,,,
34141,narrinyeri,1371,,t̪ u t a ŋ a ŋ,,,
1379,yannhangu,1291,,ɖ i l t c i,,,
34148,northerncoastalnyangumarta,1371,,m u ʈ i ŋ i,,,
34149,nyamal,1371,,k a ŋ k u,,,
1382,yawarawarga,1291,,k u l d ɹ u,,,
34151,nyangumarta,1371,,m u ʈ i ŋ a,,,
34152,nyunga,1371,,p o o n i t,,,
34153,paakantyi,1371,,ɖ i ŋ i,,,
1386,yortayorta,1291,,b u nː uː t̪,,,
34156,panytyima,1371,,k a ŋ k u,,,
34157,banggarla,1371,,b o r a,,,
34158,bayungu,1371,,m u ɖ i ɲ g a c i,,,
34159,pittapitta,1371,,p u ɳ k u,,,
34163,dhalandji,1371,,m u ɖ i,,,
34164,dhargari,1371,,m u ɖ i,,,
34167,wagaya,1371,,i ɲ c i ɳ ŋ u,,,
34172,ngura,1371,,p u n k u l a,,,
34176,warlpiri,1371,,m i ɖ i,,,
34178,wanman,1371,,m u ɳ t u ɹ a,,,
34179,wariyangga,1371,,m u ʈ i,,,
34180,warumungu,1371,,m i ʈ i n p i,,,
34182,wathawurrung,1371,,b u n,,,
34186,wikmungkan,1371,,p u ŋ k,,,
34187,wiradhuri,1371,,b uː ŋ g a ŋ,,,
34188,wirangunauo,1371,,b u ɹ a,,,
34194,yannhangu,1371,,b o n,,,
34195,yandruwandha,1371,,p a n t c a,,,
34197,yawarawarga,1371,,p a n c a,,,
34199,yindjibarndi,1371,,m a ɳ b u r,,,
34201,yortayorta,1371,,j u k u n,,,
34203,yulparitja,1371,,m u ɳ t u r a,,,
34204,yuwaalaraay,1371,,d̪ i n b i r,,,
33026,ngarinman,1223,,d u ɭ b u,,,
33029,narrinyeri,1223,,ŋ e l e,,,
1588,adnyamathanha,1251,,w a ɭ a,,,
1590,alyawarr,1251,,a t n a a l t a,,,
1591,alyawarr,1251,,a t n e ʈ,,,
1593,arabana,1251,,k u d n a ɖ i,,,
1597,yugambehbandjalang,1251,,d oː l g o,,,
33035,northerncoastalnyangumarta,1223,,t u ɭ p u,,,
1606,dhangu,1251,,d̪ u l m u,,,
33036,nyamal,1223,,k u k u ʈ u k u ʈ u,,,
1612,dhuwal,1251,,w u w a ʔ,,,
1614,dieri,1251,,m a n d a,,,
1615,dyaabugay,1251,,b a l g u,,,
1616,djambarrpuyngu,1251,,d̪ u l m u,,,
1618,djinang,1251,,b u d c i r i,,,
33038,nyunga,1223,,k u ɖ u d u,,,
1624,gamilaraay,1251,,m u b a l,,,
33039,paakantyi,1223,,b u ɭ u,,,
1630,kumbainggar,1251,,b u l uː ɲ,,,
1635,gupapuyngu,1251,,w u w a ʔ,,,
1636,gurindji,1251,,m a c u l,,,
1639,guyani,1251,,k u d n a ŋ a m p i,,,
1640,sydney,1251,,u g a,,,
1641,jaru,1251,,m u n d a,,,
1643,djiwarli,1251,,ŋ a ɭ u,,,
274,djinang,98,,ŋ a j a m a,,,
1646,kalkutung,1251,,p u t u,,,
1647,gamilaraay,1251,,m u b a l,,,
1648,karadjeri,1251,,ŋ a ɭ u,,,
1652,kartujarra,1251,,ɲ u ɖ u,,,
